2024-7-28,20.00,50.00,10.00,1320.00
2024-7-28,25.00,60.00,8.00,1990.00
2024-7-28,25.00,60.00,8.00,1990.00
2024-7-28,25.00,60.00,8.00,1990.00
2024-7-28,20.00,50.00,10.00,1320.00
2024-7-28,25.00,60.00,8.00,1990.00
2024-7-28,25.00,60.00,8.00,1990.00
2024-7-28,25.00,60.00,8.00,1990.00
2024-7-28,20.00,50.00,10.00,1320.00
2024-7-28,25.00,60.00,8.00,1990.00
2024-7-28,25.00,60.00,8.00,1990.00
2024-7-28,25.00,60.00,8.00,1990.00
2024-8-04,22.00,55.00,9.00,1475.00
2024-8-04,23.00,58.00,8.50,1612.50
2024-8-04,24.00,60.00,8.00,1720.00
2024-8-04,25.00,62.00,7.50,1825.00
2024-8-04,26.00,64.00,7.00,1930.00
2024-8-04,27.00,66.00,6.50,2035.00
2024-8-04,28.00,68.00,6.00,2140.00
2024-8-04,29.00,70.00,5.50,2245.00
2024-8-04,30.00,72.00,5.00,2350.00
2024-8-04,31.00,74.00,4.50,2455.00
2024-8-04,32.00,76.00,4.00,2560.00
2024-8-04,33.00,78.00,3.50,2665.002024-7-28,20.00,60.00,10.00,1640.00
2024-07-28,47.14,36,5,2050.59
2024-07-28,40.99,50,2,2172.47
2024-07-28,30.8,42,6,1570.8
2024-07-28,43.49,39,11,2413.7
2024-07-28,39.98,37,2,1599.2
2024-07-28,39.23,54,5,2412.64
2024-07-28,39.71,53,20,3295.93
2024-07-28,42.99,31,20,2622.39
2024-07-28,21.13,57,13,1616.44
2024-07-28,24.19,42,19,1705.39
2024-07-28,23.25,34,16,1348.5
2024-07-28,41.92,51,1,2200.8
2024-07-28,40.24,59,11,3038.12
2024-07-28,47.27,54,4,2836.2
2024-07-28,43.08,41,5,2089.38
2024-07-28,27.74,44,7,1511.83
2024-07-28,44.56,37,17,2785.0
2024-07-28,27.53,58,6,1844.51
2024-07-28,32.1,55,8,2150.7
2024-07-28,26.94,57,12,2020.5
2024-07-28,20.57,34,0,699.38
2024-07-28,46.6,49,19,3611.5
2024-07-28,23.59,36,4,990.78
2024-07-28,47.16,46,0,2169.36
2024-07-28,47.7,32,17,2742.75
2024-07-28,49.26,54,20,4137.84
2024-07-28,30.17,31,10,1387.82
2024-07-28,43.82,36,10,2234.82
2024-07-28,46.33,35,20,3011.45
2024-07-28,30.18,42,7,1584.45
2024-7-28,1212.00,1222.00,12222.00,18501504.00
2024-7-28,1212999.00,1222.00,12222.00,17025932049.00
